open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-08-16 20:00:00+00:00,188.68,189.23,188.34,188.61,22198.395,2025-08-16 20:29:59.999000+00:00,4190931.58823,20330,11513.455,2174028.55553
2025-08-16 20:30:00+00:00,188.61,189.1,188.4,189.08,27597.479,2025-08-16 20:59:59.999000+00:00,5208355.33983,17436,21711.138,4097029.47188
2025-08-16 21:00:00+00:00,189.07,189.08,188.27,188.87,17462.416,2025-08-16 21:29:59.999000+00:00,3294587.01424,18480,10101.653,1905575.18394
2025-08-16 21:30:00+00:00,188.86,188.9,188.33,188.38,13553.859,2025-08-16 21:59:59.999000+00:00,2556347.4494,12838,6438.96,1214381.30501
2025-08-16 22:00:00+00:00,188.39,188.68,187.94,188.59,28061.797,2025-08-16 22:29:59.999000+00:00,5286306.19298,28755,16350.554,3080507.77046
2025-08-16 22:30:00+00:00,188.58,189.27,188.54,189.05,18488.912,2025-08-16 22:59:59.999000+00:00,3495144.83779,14806,11267.792,2130086.35486
2025-08-16 23:00:00+00:00,189.05,189.3,188.7,188.71,16767.488,2025-08-16 23:29:59.999000+00:00,3170736.20241,16561,7689.122,1454046.82321
2025-08-16 23:30:00+00:00,188.7,190.06,188.55,189.6,45478.353,2025-08-16 23:59:59.999000+00:00,8622357.29881,22936,35889.884,6806543.46191
2025-08-17 00:00:00+00:00,189.61,189.69,188.62,188.69,20587.345,2025-08-17 00:29:59.999000+00:00,3892658.53468,17508,9698.301,1833813.66743
2025-08-17 00:30:00+00:00,188.69,188.95,187.99,188.16,33324.053,2025-08-17 00:59:59.999000+00:00,6276826.79818,20078,14075.832,2652484.35212
2025-08-17 01:00:00+00:00,188.15,188.17,187.35,187.72,45557.271,2025-08-17 01:29:59.999000+00:00,8551149.39531,32433,19712.197,3700844.36814
2025-08-17 01:30:00+00:00,187.73,188.66,187.6,188.39,27746.784,2025-08-17 01:59:59.999000+00:00,5219345.36608,34067,16222.491,3051470.72889
2025-08-17 02:00:00+00:00,188.38,189.54,187.98,189.54,27659.136,2025-08-17 02:29:59.999000+00:00,5221160.79956,26355,14886.168,2810378.63449
2025-08-17 02:30:00+00:00,189.54,191.6,189.21,191.54,107403.191,2025-08-17 02:59:59.999000+00:00,20495476.98727,71211,63144.431,12048460.84007
2025-08-17 03:00:00+00:00,191.54,191.88,190.29,190.66,47300.153,2025-08-17 03:29:59.999000+00:00,9035848.33198,40252,20265.934,3872157.57017
